Alue;VP_A;VP_BC;VP_DEF;VP_GHUX;VP_JKLM;VP_NO;VP_P;VP_Q
Kärkölä;8.6442220200182;47.5432211101001;7.00636942675159;18.3803457688808;3.36669699727025;5.77797998180164;2.68425841674249;6.59690627843494
Kärsämäki;24.1063244729606;20.1649862511457;8.79926672777269;21.3565536205316;3.57470210815765;5.13290559120073;4.49129239230064;12.3739688359303
Kökar;8.10810810810811;0;5.40540540540541;25.6756756756757;2.7027027027027;21.6216216216216;9.45945945945946;27.027027027027
Köyliö;25.1819505094614;19.5050946142649;9.8981077147016;16.1572052401747;3.49344978165939;5.67685589519651;5.82241630276565;14.2649199417758
Kemijärvi;6.82213713887922;14.8973198746954;6.02158022972503;26.6272189349112;7.62269404803341;10.9293421510616;8.87573964497041;18.2039679777236
Kemiönsaari;9.41047235444892;21.6404247528378;5.85865983156353;25.4119370194068;5.71219333577444;6.22482607103625;8.05565726839985;17.6858293665324
Lahti;0.219016531536275;18.2752448141518;8.9038643782247;28.7648731178267;10.2853532694535;11.0856059808361;6.64420343266295;15.821838475308
Laihia;11.9293078055965;18.605792832597;9.13107511045655;21.9440353460972;4.81099656357388;9.32744231713304;7.11831124202258;17.1330387825233
Laitila;10.7646622123237;33.3085869834199;8.46325167037862;18.4607770353873;5.19673348181143;3.637713437268;7.64662212323682;12.5216530561742
Lapinlahti;19.1075514874142;24.570938215103;6.17848970251716;17.7345537757437;3.66132723112128;7.9233409610984;5.34897025171625;15.474828375286
Lappajärvi;19.53125;15.78125;11.875;21.09375;3.828125;5.078125;8.125;14.6875
Lappeenranta;2.66915339224019;18.1643073348213;8.49053719387287;27.8655945210505;9.34662304705415;11.1566331366374;7.53355550799523;14.7735958663283
Lapinjärvi;24.5544554455446;11.5841584158416;6.03960396039604;22.2772277227723;3.06930693069307;4.65346534653465;10.0990099009901;17.7227722772277
Lapua;10.5932203389831;24.6569814366425;7.46569814366425;21.4285714285714;6.57788539144471;7.22356739305892;8.15173527037934;13.9023405972559
Laukaa;6.39501980758348;20.5810224485946;8.60215053763441;22.184493491794;4.99905678173929;10.4885870590455;7.45142425957367;19.2982456140351
Lavia;25.9191176470588;11.2132352941176;16.1764705882353;20.7720588235294;4.77941176470588;5.88235294117647;8.63970588235294;6.61764705882353
Lemi;17.3841059602649;14.2384105960265;7.45033112582781;20.5298013245033;4.80132450331126;11.0927152317881;7.28476821192053;17.2185430463576
Lemland;6.6147859922179;2.33463035019455;16.7315175097276;27.6264591439689;6.22568093385214;5.83657587548638;7.78210116731517;26.8482490272374
Lempäälä;2.71660504742003;20.623693939881;12.8918180356856;31.2168461662112;5.70647805819;6.94422118630445;7.28178749397203;12.6185500723356
Leppävirta;11.9735258724428;30.8363417569194;7.12996389891697;20.3068592057762;3.12876052948255;4.96389891696751;6.67870036101083;14.9819494584838
Lestijärvi;36.8146214099217;20.1044386422977;2.61096605744125;13.3159268929504;1.82767624020888;9.39947780678851;3.91644908616188;12.0104438642298
Lieksa;11.4333254100309;20.4658901830283;5.11053006893273;24.9108628476349;5.37199904920371;10.4825291181364;7.60637033515569;14.6184929878773
Lieto;3.79576107899807;25.1637764932563;13.2369942196532;25.1830443159923;5.22157996146435;7.63005780346821;5.04816955684008;14.7206165703276
Liminka;10.827664399093;5.61224489795918;7.2562358276644;21.7687074829932;4.64852607709751;10.7709750566893;12.9251700680272;26.1904761904762
Liperi;16.2170354652925;8.45710821461049;9.2149136101849;19.9151257956957;4.5468323734465;6.72931191270082;8.15398605638072;26.7656865716884
Loimaa;11.1805461214509;23.5429968754245;8.15106643119141;20.3233256351039;6.23556581986143;8.00163021328624;6.09971471267491;16.4651541910067
Loppi;14.3459915611814;9.32958274730427;11.7674636661978;29.0201593999062;5.81340834505391;7.17299578059072;7.50117205813408;15.0492264416315
Loviisa;6.80053999325008;20.2159973000337;15.929800877489;23.9959500506244;5.73742828214647;9.11238609517381;5.48430644616942;12.7235909551131
Luhanka;31.8627450980392;2.94117647058824;14.7058823529412;19.1176470588235;5.88235294117647;7.35294117647059;6.37254901960784;11.7647058823529
Lumijoki;30.4157549234136;8.97155361050328;13.129102844639;17.9431072210066;7.4398249452954;5.47045951859956;5.25164113785558;11.3785557986871
Lumparland;27.9411764705882;2.94117647058824;4.41176470588235;27.9411764705882;1.47058823529412;11.7647058823529;7.35294117647059;16.1764705882353
Luoto;4.25985090521832;32.5878594249201;10.8626198083067;11.395101171459;5.43130990415335;5.3248136315229;13.7380191693291;16.4004259850905
Luumäki;18.8414634146341;15.4878048780488;9.26829268292683;26.0365853658537;6.21951219512195;6.15853658536585;4.02439024390244;13.9634146341463
Luvia;13.1909547738693;31.0301507537688;7.03517587939699;18.5929648241206;3.51758793969849;6.28140703517588;5.90452261306533;14.4472361809045
Lohja;3.13533234522859;21.8903203739596;9.6055181849276;25.9263481929084;6.91483297229506;8.98985292440999;6.94903659787937;16.5887584083913
Parainen;5.54941002949853;23.4328908554572;7.90929203539823;21.7367256637168;6.45280235988201;9.03392330383481;8.03834808259587;17.8466076696165
Maalahti;14.5844504021448;21.3404825737265;7.07774798927614;19.4101876675603;4.12868632707775;4.71849865951743;6.91689008042895;21.8230563002681
Maaninka;32.7018943170489;4.88534396809571;6.48055832502493;21.036889332004;6.9790628115653;4.08773678963111;5.38384845463609;18.444666001994
Maarianhamina;0.21844429670434;4.40687624655713;4.60632538702631;50.0142463671764;11.1881470225093;9.59255389875582;5.27115585525691;14.7022509260139
Marttila;25.8620689655172;10.0313479623824;11.4420062695925;23.1974921630094;7.21003134796238;7.05329153605016;1.72413793103448;13.4796238244514
Masku;6.81989449886963;14.1672946495855;16.2019593067069;30.4069329314243;4.59683496608892;5.4257724189902;4.74755086661643;17.6337603617182
Merijärvi;34.1296928327645;14.3344709897611;4.09556313993174;12.9692832764505;4.43686006825939;5.11945392491468;9.89761092150171;15.0170648464164
Merikarvia;14.2439024390244;24;9.36585365853658;19.609756097561;2.24390243902439;6.14634146341463;7.90243902439024;16.4878048780488
Miehikkälä;31.9604612850082;3.95387149917628;4.2833607907743;22.8995057660626;2.14168039538715;6.42504118616145;4.61285008237232;23.7232289950577
Mikkeli;4.48345541803486;15.2226993348489;7.69133619600909;25.8272290982571;9.01742864359687;11.2654710785552;8.12494737728383;18.3674328534142
Muhos;8.18965517241379;6.97492163009404;7.68025078369906;20.2194357366771;6.46551724137931;5.40752351097179;9.71786833855799;35.3448275862069
Multia;22.0512820512821;21.8803418803419;3.58974358974359;15.2136752136752;5.64102564102564;5.2991452991453;5.47008547008547;20.8547008547009
Muonio;4.74683544303798;1.16033755274262;6.22362869198312;33.6497890295359;17.7215189873418;16.1392405063291;7.17299578059072;13.1856540084388
Mustasaari;8.31270627062706;20.9777227722772;10.5816831683168;21.1221122112211;6.70379537953795;6.82755775577558;7.48762376237624;17.986798679868
Muurame;1.91513330829891;33.0829891100263;8.44911753661284;16.2974089372888;3.98047315058205;5.8580548253849;6.94705219677056;23.4697709350357
Mynämäki;18.1778169014085;15.625;9.81514084507042;21.4348591549296;6.5580985915493;6.5580985915493;6.51408450704225;15.3169014084507
Myrskylä;23.0215827338129;11.6906474820144;10.6115107913669;24.2805755395683;3.9568345323741;6.83453237410072;5.57553956834532;14.0287769784173
Mäntsälä;6.62264150943396;11.188679245283;12.3962264150943;30.4528301886792;6.62264150943396;7.22641509433962;9;16.4905660377358
Mäntyharju;15.2883325882879;21.4573088958426;10.683951721055;22.1278497988377;5.00670540902995;6.07957085382208;3.71032632990612;15.6459544032186
Mänttä-Vilppula;2.79605263157895;39.0213815789474;5.40707236842105;18.7294407894737;4.62582236842105;7.64802631578947;5.73601973684211;16.0361842105263
Naantali;3.49423045668779;25.5647651552088;11.2302941654477;24.4108564927678;6.25711035267349;10.6777181862506;5.42824638387778;12.936778807086
Nakkila;6.3230605738576;29.6493092454835;18.1190223166844;20.5632306057386;4.72901168969182;5.89798087141339;5.41976620616366;9.29861849096706
Nastola;2.99785867237687;47.5868884862461;7.01696590347554;16.1423159281832;3.06374567616538;5.20507329929171;6.20985010706638;11.7773019271949
Nivala;16.8738898756661;21.3143872113677;7.56153260593758;17.7112408018269;4.74498858157828;7.5869068764273;9.54072570413601;14.6663283430601
Nokia;1.19423355796298;40.6977736074384;4.74281327305297;18.6471039836219;5.51906508572891;10.2021666808837;3.66800307088629;15.3288407404248
Nousiainen;13.8863841298467;13.7962128043282;11.2714156898106;21.4607754733995;4.8692515779982;7.75473399458972;10.2795311091073;16.6816952209197
Nurmes;16.0642570281125;13.9892904953146;5.62248995983936;27.9451137884873;5.85676037483266;8.50066934404284;6.42570281124498;15.5957161981258
Nurmijärvi;2.8088355604036;16.9530042723389;11.0353604217798;28.9973638760113;7.24479592764294;8.66284883192437;9.49913644214162;14.7986546677575
Närpiö;24.7050968172713;19.4079679501447;4.80747829957712;23.1248608947251;5.85354996661473;4.91876251947474;4.82973514355664;12.3525484086357
Orimattila;11.8007662835249;22.3371647509579;13.7164750957854;19.1570881226054;4.54022988505747;7.72030651340996;5.13409961685824;15.5938697318008
Oripää;28.3333333333333;13.3333333333333;11.4583333333333;18.75;4.16666666666667;12.50001;1.875;9.58333333333333
Orivesi;11.8990794408456;16.5359699965905;9.34197067848619;26.7303102625298;5.72792362768496;8.01227412205932;7.19399931810433;14.5584725536993
Oulainen;8.71274156567311;15.7549950867999;10.0884376023583;19.7838191942352;3.93056010481494;5.33901080904029;7.14051752374713;29.2499181133311
Oulu;0.902350223168386;15.1403723101859;8.83601659550276;23.8892988037207;13.6804035174725;11.1487426366528;9.11905942689875;17.2837564863982
Padasjoki;16.9907881269191;17.2978505629478;7.26714431934493;24.1555783009212;4.91299897645855;7.67656090071648;5.32241555783009;16.3766632548618
Paimio;5.33083311009912;17.3854808465042;12.8850790249129;17.4122689525851;4.76828288240021;6.64345030806322;7.71497455129922;27.8596303241361
Paltamo;11.1111111111111;8.51254480286738;12.4551971326165;27.9569892473118;3.85304659498208;10.3942652329749;7.88530465949821;17.831541218638
Parikkala;23.2409381663113;8.2089552238806;10.2345415778252;24.1471215351812;4.42430703624733;8.04904051172708;4.53091684434968;17.1641791044776
Parkano;7.97399041752224;31.8275154004107;8.38466803559206;21.6974674880219;6.70773442847365;6.60506502395619;5.27036276522929;11.533196440794
Pelkosenniemi;9.42028985507246;0;14.975845410628;41.7874396135266;3.6231884057971;8.45410628019324;5.07246376811594;16.6666666666667
Perho;20.8722741433022;21.4953271028037;5.39979231568017;18.4839044652129;3.21910695742471;4.15368639667705;11.8380062305296;14.5379023883697
Pertunmaa;22.8197674418605;11.4825581395349;7.70348837209302;28.7790697674419;6.1046511627907;3.77906976744186;3.63372093023256;15.6976744186047
Petäjävesi;16.9354838709677;9.67741935483871;10.383064516129;24.4959677419355;6.2500001;8.36693548387097;8.46774193548387;15.4233870967742
Pieksämäki;7.10106382978723;15.9441489361702;8.96276595744681;23.2712765957447;5.1063829787234;9.9468085106383;7.43351063829787;22.2340425531915
Pielavesi;29.8280423280423;5.35714285714286;5.22486772486772;20.1719576719577;4.62962962962963;6.81216931216931;5.55555555555556;22.4206349206349
Pietarsaari;0.91734703238235;33.785891202642;4.7243372167691;22.2181451243005;8.54050087147968;8.09100082561233;6.25630676084763;15.4664709659664
Pedersören;15.2186098654709;35.0896860986547;8.23991031390135;14.9663677130045;2.91479820627803;3.36322869955157;8.54820627802691;11.6591928251121
Pihtipudas;23.5668789808917;12.4203821656051;6.81528662420382;22.1656050955414;4.96815286624204;8.02547770700637;6.68789808917197;15.3503184713376
Pirkkala;0.560672807368843;18.4221065278334;12.3948738486183;38.0857028434121;5.76692030436524;8.79054865839007;4.94593512214658;11.0332398878654
Polvijärvi;26.2122276879831;12.087139845397;8.29234012649332;19.6064652143359;6.1841180604357;7.51932536893886;5.41110330288124;14.6872803935348
Pomarkku;12.1160409556314;23.2081911262799;7.67918088737201;20.3071672354949;3.58361774744027;6.65529010238908;6.8259385665529;19.6245733788396
Pori;1.21172064331351;18.5062789160608;8.82903723287068;26.2447675699493;10.8338841154439;9.81769112139238;6.11368142762723;18.4429389733421
Pornainen;10.0867678958785;2.27765726681128;20.7158351409978;24.4034707158351;6.07375271149675;9.21908893709328;11.2798264642082;15.943600867679
Posio;22.2727272727273;15.6060606060606;5.68181818181818;23.5606060606061;3.10606060606061;8.25757575757576;5.45454545454545;16.0606060606061
Pudasjärvi;14.690632561355;15.7967507777394;7.15520221223643;26.477704804701;6.01451780159004;7.98479087452472;6.7749740753543;15.1054268924991
